"時点","地域コード","地域","漁獲量【トン】","注記"
"1975年","00000","全国","9700288",""
"1976年","00000","全国","9729349",""
"1977年","00000","全国","9820359",""
"1978年","00000","全国","9819447",""
"1979年","00000","全国","9613234",""
"1980年","00000","全国","10036289",""
"1981年","00000","全国","10266997",""
"1982年","00000","全国","10353340",""
"1983年","00000","全国","10813505",""
"1984年","00000","全国","11607875",""
"1985年","00000","全国","10987049",""
"1986年","00000","全国","11446968",""
"1987年","00000","全国","11230364",""
"1988年","00000","全国","11358670",""
"1989年","00000","全国","10542909",""
"1990年","00000","全国","9682083",""
"1991年","00000","全国","8618425",""
"1992年","00000","全国","7868525",""
"1993年","00000","全国","7347355",""
"1994年","00000","全国","6682071",""
"1995年","00000","全国","6098928",""
"1996年","00000","全国","6067659",""
"1997年","00000","全国","6070765",""
"1998年","00000","全国","5393745",""
"1999年","00000","全国","5310703",""
"2000年","00000","全国","5092365",""
"2001年","00000","全国","4814486",""
"2002年","00000","全国","4495046",""
"2003年","00000","全国","4781925",""
"2004年","00000","全国","4515065",""
"2005年","00000","全国","4510954",""
"2006年","00000","全国","4511232",""
"2007年","00000","全国","4435864",""
"2008年","00000","全国","4405964",""
"2009年","00000","全国","4189012",""
"2010年","00000","全国","4161946",""
"2011年","00000","全国","3858359",""
"2012年","00000","全国","3779632",""
"2013年","00000","全国","3746102",""
"2014年","00000","全国","3744012",""
"2015年","00000","全国","3525363",""
"2016年","00000","全国","3300500",""
"2017年","00000","全国","3283504",""
"2018年","00000","全国","3392673",""
"2019年","00000","全国","3257217",""
"2020年","00000","全国","3237080",""
"2021年","00000","全国","3212407",""
"1975年","01000","北海道","2497059",""
"1976年","01000","北海道","2343550",""
"1977年","01000","北海道","1923026",""
"1978年","01000","北海道","1754111",""
"1979年","01000","北海道","1843941",""
"1980年","01000","北海道","1808651",""
"1981年","01000","北海道","1821149",""
"1982年","01000","北海道","1858984",""
"1983年","01000","北海道","1812713",""
"1984年","01000","北海道","1948413",""
"1985年","01000","北海道","2075336",""
"1986年","01000","北海道","1885101",""
"1987年","01000","北海道","2024395",""
"1988年","01000","北海道","2035070",""
"1989年","01000","北海道","2010606",""
"1990年","01000","北海道","2005955",""
"1991年","01000","北海道","1747001",""
"1992年","01000","北海道","1794733",""
"1993年","01000","北海道","1636527",""
"1994年","01000","北海道","1646693",""
"1995年","01000","北海道","1744631",""
"1996年","01000","北海道","1699828",""
"1997年","01000","北海道","1742102",""
"1998年","01000","北海道","1531216",""
"1999年","01000","北海道","1522672",""
"2000年","01000","北海道","1500036",""
"2001年","01000","北海道","1421714",""
"2002年","01000","北海道","1360423",""
"2003年","01000","北海道","1482072",""
"2004年","01000","北海道","1372008",""
"2005年","01000","北海道","1294301",""
