"時点","地域コード","地域","漁獲量【トン】","注記"
"1975年","00000","全国","9700288",""
"1976年","00000","全国","9729349",""
"1977年","00000","全国","9820359",""
"1978年","00000","全国","9819447",""
"1979年","00000","全国","9613234",""
"1980年","00000","全国","10036289",""
"1981年","00000","全国","10266997",""
"1982年","00000","全国","10353340",""
"1983年","00000","全国","10813505",""
"1984年","00000","全国","11607875",""
"1985年","00000","全国","10987049",""
"1986年","00000","全国","11446968",""
"1987年","00000","全国","11230364",""
"1988年","00000","全国","11358670",""
"1989年","00000","全国","10542909",""
"1990年","00000","全国","9682083",""
"1991年","00000","全国","8618425",""
"1992年","00000","全国","7868525",""
"1993年","00000","全国","7347355",""
"1994年","00000","全国","6682071",""
"1995年","00000","全国","6098928",""
"1996年","00000","全国","6067659",""
"1997年","00000","全国","6070765",""
"1998年","00000","全国","5393745",""
"1999年","00000","全国","5310703",""
"2000年","00000","全国","5092365",""
"2001年","00000","全国","4814486",""
"2002年","00000","全国","4495046",""
"2003年","00000","全国","4781925",""
"2004年","00000","全国","4515065",""
"2005年","00000","全国","4510954",""
"2006年","00000","全国","4511232",""
"2007年","00000","全国","4435864",""
"2008年","00000","全国","4405964",""
"2009年","00000","全国","4189012",""
"2010年","00000","全国","4161946",""
"2011年","00000","全国","3858359",""
"2012年","00000","全国","3779632",""
"2013年","00000","全国","3746102",""
"2014年","00000","全国","3744012",""
"2015年","00000","全国","3525363",""
"2016年","00000","全国","3300500",""
"2017年","00000","全国","3283504",""
"2018年","00000","全国","3392673",""
"2019年","00000","全国","3257217",""
"2020年","00000","全国","3237080",""
"2021年","00000","全国","3212407",""
