Year,Title,Body
2021,「令和3年度 日本学術振興会賞 表彰状伝達式を学内で挙行」 - 横浜国立大学,日本学術振興会では、創造性に富み優れた研究能力を有する若手研究者を見い出し、早い段階から顕彰することでその研究意欲を高め、研究の発展を支援することにより、日本の学術研究の水準を世界のトップレベルにおいて発展させることを目的に、日本学術振興会賞を定めており、令和3年度の表彰において本学環境情報研究院 森章教授が受賞しました。 第18回日本学術振興会賞授賞式は新型コロナウイルス感染拡大の影響で中止となりましたが、本学受賞者への伝達式を3月30日に開催し、学長から表彰状と賞牌の代理授与、祝辞が送られました。 森　章 環境情報研究院教授 「植物群落における生物多様性の機能とその公益性の解明」 三宅理事、森章教授、梅原学長
2021,ホーチミン市工科大学（ベトナム）とオンライン部局間ダブルディグリー協定調印式を実施しました - 横浜国立大学,2022年3月11日（金）、ホーチミン市工科大学（ベトナム）土木工学部と本学都市イノベーション学府との部局間ダブルディグリー協定の締結にかかる調印式がオンラインで行われました。 本学は、ホーチミン市工科大学と 2010 年に全学学術交流協定を締結し、学生交流や共同研究など10年以上にわたり親密な関係を築いてきました。特に 2019 年に AUN/SEED-Net（アセアン工学系高等教育ネットワーク）の大学院共同教育プログラムをホーチミン市工科大学と本学およびヤンゴン工科大学、JFE スチールの 4 者コンソーシアムで開始して以来、建設管理学、土木工学の分野で修士学生の教育、研究指導、技術セミナーの開催など、両大学間の交流が一層促進され、継続的な学生交流を図ることを目的として、今回のダブルディグリー協定のオンライン調印式の運びとなりました。 ホーチミン市工科大学から Assoc.Prof. Dr.Mai Thang Phong 学長及び Assoc.Prof. Dr.Nguyen Danh Thao 副学長（本学博士修了、2007年）をはじめ、関係部局から9名が出席され、Mai Thang Phong 学長から両大学交流12年の歴史と実績への祝辞があり、お互いに重要なパートナーであること、そして今回のダブルディグリー協定締結を機に更に絆が深まることへの期待が述べられました。また、本学からは梅原出学長、勝地弘都市イノベーション研究院長、鈴木崇之都市イノベーション研究院教授が出席し、梅原学長からオンライン調印式の開催への感謝の言葉と、本学は「知の統合型大学」として世界水準の研究大学を目指している旨を述べ、今後の両大学間の学術交流における更なる連携への期待を示しました。 調印記念写真（左写真：中央がMai Thang Phong学長、左から3人目がNguyen Danh Thao副学長） 調印式には来賓として、JICA:AUN/SEED-Net事務局の村上ゆうすけ副最高顧問にバンコクからオンラインでご参加いただき、お祝いの言葉を頂戴しました。また、大学院共同教育プログラムのコンソーシアムの一員であるJFEスチールからも村上琢哉インフラ建材研究部長に参加いただきました。その後、両大学長は、和やかな雰囲気の中で、協定書に署名し、拍手の音が大きく響く中、ホーチミンと横浜両サイドで記念撮影をしました。最後は、参加者全員の笑顔がスクリーンに映し出され、バーチャル集合写真を撮り、約1時間にわたる調印式が成功裡に終了しました。 バーチャル集合写真（中段右から2人目がJICA: AUN/SEED-Net事務局の村上ゆうすけ副最高顧問） (担当：都市イノベーション研究院)
2021,教育学部・先端科学高等研究院 筆保弘徳教授がムーンショット型研究開発事業のプロジェクトマネージャーに採択 - 横浜国立大学,教育学部・先端科学高等研究院　筆保弘徳教授 教育学部・先端科学高等研究院 台風科学技術研究センター長の筆保弘徳教授が、科学技術振興機構（JST）の ムーンショット型研究開発事業 目標８「2050年までに、激甚化しつつある台風や豪雨を制御し極端風水害の脅威から解放された安全安心な社会を実現」の プロジェクトマネージャー（PM） に採択されました。 今後、筆保教授らの研究チームはムーンショット目標8コア研究の「安全で豊かな社会を目指す台風制御研究」プロジェクトに取り組みます。 筆保先生のコメント ムーンショットミレニア・プログラム から始まった約１年半、長い道のりでしたがついにここまでたどり着くことができました。これも、たくさんの方々からのご助力のおかげです。 そしてこのムーンショット目標８のPMへの採択を新たなスタートとして、台風制御に向けた基礎研究を進展させていきたいと思います。 TRCのメンバーでもあるJAMSTECの森上席研究員もPM採択 台風科学技術研究センター台風観測研究ラボのメンバーである、海洋研究開発機構（JAMSTEC）地球環境部門プログラム長代理の森修一上席研究員も、ムーンショット目標８要素研究のPMに採択され、今後「台風制御の予測と監視に不可欠な海の無人機開発」プロジェクトに取り組みます。 JAMSTEC　森修一上席研究員 森先生のコメント 本務先から提案した本課題ですが、台風観測研究ラボの一員としてTRCと良い協力関係で研究を進めることはもちろん、将来的に筆保先生のコア研究課題にも貢献できる成果を出せるよう努めたいと考えています。 関連情報 ムーンショット型研究開発制度とは 内閣府が主導する「ムーンショット型研究開発制度」は、超高齢化社会や地球温暖化問題など重要な社会課題に対し、人々を魅了する野心的な目標（ムーンショット目標）を国が設定し、挑戦的な研究開発を推進するものです。 ムーンショット型研究開発制度とは（内閣府ウェブサイト） プロジェクトマネージャー（PM）とは ムーンショット型研究開発制度では複数の研究開発プロジェクトを推進して、各ムーンショット目標達成を目指します。各研究開発プロジェクトを提案し推進する責任者がプロジェクトマネージャー（PM）です。 関連リンク】 ムーンショット型研究開発制度（内閣府） ムーンショット型研究開発事業（JST） 先端科学高等研究院 台風科学技術研究センター
2021,ダイバーシティ・フレンドリー事業ポスターデザインコンテストのご案内 - 横浜国立大学,"横浜国立大学は、ダイバーシティ推進のため、 性別、年齢、国籍、人種、民族、文化、宗教、障がい、セクシュアル・マイノリティなど、多様な背景を有する人々の人権を尊重し、ダイバーシティ推進に関する学生・教職員の意識の啓発に努め、相互に連携していくこと 多様な知と感性が教育・研究の活性化の貴重な資源であることを認識し、それらを新たな価値の創造に活かしていくこと などについて、取組みを進めています。 ダイバーシティ戦略推進本部バリアフリー推進部門では、学生・教職員のダイバーシティ推進に関するより一層の理解・啓発につなげるため、ダイバーシティ・フレンドリー事業を立ち上げ、この度、その事業のひとつとして、ポスターデザインコンテストを実施することとなりました。ポスターの制作や鑑賞を通じて、本学関係者の皆さまがダイバーシティ推進について考え、理解を深める機会となることを願っています。皆さまからの積極的なご応募をお待ちしています。 ダイバーシティ・フレンドリー事業については、以下の動画をご覧ください。 YNUダイバーシティ・フレンドリー事業についての説明動画 １．募集テーマ 「ダイバーシティ・フレンドリー」 多様性（ダイバーシティ）の尊重。性別、年齢、国籍、人種、民族、文化、宗教、障がい、セクシュアル・マイノリティなど、多様な背景を有する人々との共生。 ２．応募締切 令和４年８月３１日（水）午後５時必着 ３．応募資格 横浜国立大学に在籍する学生、大学院生、附属学校児童・生徒、教職員 ４．作品の規格等 募集テーマに沿った作品を作成して、PDFデータ 又は 紙媒体 で提出ください。 ■作品の規格 Ａ４サイズで作成してください。 ■本学ダイバーシティ・フレンドリー事業のポスター等に採用されることになった作品は、本学で、作品の余白等に横浜国立大学のロゴ、タイトル「ダイバーシティ・フレンドリー」、イベント等の説明文等を入れる予定です。タイトルの文字も含めてデザインしたい場合は、作品の中に「ダイバーシティ・フレンドリー」と入れてください。 ■色覚多様性に配慮した配色あるいは工夫をしてください。色覚シミュレーションアプリを使用すると様々な色覚特性のある人の見え方を確認できます。 ５．応募の手順、応募先 まず、①応募エントリー、 次に、②メール 又は 郵送 で作品を提出してください（8月31日（水）午後5時必着）。 ①応募エントリーについて 以下にアクセスしてエントリーしてください。 https://forms.office.com/r/2JXCzGL4YL ②作品の提出について ○データの場合（推奨） 以下の方法で提出してください ・作品データ形式： PDFデータ ・PDFデータの名前は、氏名としてください（例：横国花子）。 ・メールタイトル： 「ポスター応募」 ・送付先： 以下のメールアドレスにご送付ください。 E-mail： shougai.shien@ynu.ac.jp ・データ容量が大きくメールで送れない場合は「８．メールで送れない場合は」をご覧ください。 ○紙媒体（郵送）の場合 ※紙媒体の裏に鉛筆で氏名、所属（附属学校の場合は学校名及び学年）を記入してください。 以下の送付先まで8月31日（水）午後5時必着でご郵送ください。 ・送付先 〒２４０－８５０１ 横浜市保土ケ谷区常盤台７９－８ 横浜国立大学 障がい学生支援室　宛 ○紙媒体（手渡し）の場合 ※紙媒体の裏に鉛筆で氏名、所属（附属学校の場合は学校名及び学年）を記入してください。 8月31日（水）8:30-12:45、13:45-17:00に学生センター２階 障がい学生支援室窓口へ提出してください。 この日より前に提出したい場合（平日8:30-12:45、13:45-17:00に限る）は、障がい学生支援室までご相談ください。 ６．選考 及び 入賞作品について 横浜国立大学ダイバーシティ戦略推進本部が選考し、優秀作品を決定します。入賞作品は、ポスターとして活用するほか、ウェブサイトで公開するなど、普及啓発のために使用させていただきます。 なお、優秀作品に選ばれた方には、5,000円の図書カードを進呈いたします。 ７．応募についての注意事項 （１）応募作品は応募者が創作した未公表の作品とします。 （２）応募作品の中に第三者が著作権等の権利を有している著作物等を利用していないこと及び人物を被写体とする場合は肖像権の侵害をしていないことを条件とします。また著作権その他の第三者の権利を侵害していると判明したものは、採用後であっても無効となります。 （３）応募作品は作品、コンセプトを大学ウェブサイトに掲載する等大学で広報等に使用することについてあらかじめ同意したものとみなします。 （４）採用作品に関する著作権は主催者に無償で譲与していただきます。その他採用作品に関する一切の権利を行使しないことについて同意したものとみなします。また、採用作品は表紙にするに当たり、一部修正することがあります。 （５）応募された作品は返却いたしません。 （６）提供いただいた個人情報は横浜国立大学が管理し、正当な理由なく第三者への開示、譲渡及び貸与することは一切ありません。 ８．メールで送れない場合は データ容量が大きすぎてメールで送れない場合には、以下のURLから大容量ファイル転送サービスをご利用ください。 【大学教職員、学生用】https://filesender.nii.ac.jp/ 【附属学校用】https://gigafile.nu ９．問合せ先 横浜国立大学ダイバーシティ戦略推進本部バリアフリー推進部門（障がい学生支援室） 電話： 045-339-3118 メール： shougai.shien@ynu.ac.jp (担当：学務部学生支援課)"
2021,「都市の防災・減災を考えるシンポジウム」を開催しました - 横浜国立大学,2022年3月26日（土）13時30分～16時30分、オンラインにて「都市の防災・減災を考えるシンポジウム」（主催：都市イノベーション研究院）を開催いたしました。 本シンポジウムは、都市イノベーション研究院・学府での都市の防災・減災に関する研究成果と今後の展望の紹介を目的とし、梅原学長からの学長挨拶に始まり、建築分野や土木分野の教員による研究紹介、また、神奈川県県土整備局の田代様より神奈川県の防災・減災の取り組みをご紹介いただきました。プログラム構成は以下のとおりです。 【プログラム】 開会　　　勝地弘（都市イノベーション研究院長・教授） 学長挨拶　梅原出（横浜国立大学長） 都市イノベーション研究院の紹介　勝地弘（都市イノベーション研究院長・教授） 建築分野の防災・減災研究の紹介 －地域エネルギーシステムからのアプローチ　佐土原聡（都市イノベーション研究院・教授） －震災の教訓を次に活かすための取り組み　松本由香（都市イノベーション研究院・教授） 土木分野の防災・減災研究の紹介 －自然災害ミチゲーション研究拠点の取り組み　細田暁（都市イノベーション研究院・教授） －海岸防災・強風災害への取り組み　鈴木崇之（都市イノベーション研究院・教授） －地震防災・防火への取り組み　前川宏一（都市イノベーション研究院・教授） －地盤防災への取り組み　菊本統（都市イノベーション研究院・教授） 神奈川県の防災・減災の取り組み　田代茂樹様（神奈川県県土整備局・技幹） 座談会 当日は、70名ほどの方にオンラインでご参加いただき、実施後のアンケートでは、様々な分野の話が聞けるいい機会となったとの感想や、学内、また、学外とのより一層の連携を期待する声などをいただきました。多くの方にご参加いただきましたことを改めて感謝申し上げます。 都市イノベーション研究院では、今後も、今回のようなシンポジウムの開催や研究成果の公表を予定しておりますので、ご期待いただければ幸いに存じます。 (担当：都市イノベーション研究院)
2021,「令和３年度　優秀研究者賞授与式を挙行」 - 横浜国立大学,優秀研究者賞は、本学研究者の優れた研究実績に対して表彰することにより、研究意欲を高めると同時に本学の研究力を向上させることなどを目的としています。 令和３年度の優秀研究者賞は、学術上特に顕著な業績をあげたものに贈られる「優秀研究賞」に今野紀雄 工学研究院教授、前川宏一 都市イノベーション研究院教授、技術開発又は技術改良において、すぐれた業績をあげたものに贈られる「技術進歩賞」に島圭介 工学研究院准教授、研究業績が社会、経済、文化面において顕著な功績をあげたものに贈られる「社会貢献賞」に乾久美子 都市イノベーション研究院教授、独創的な業績を発表した40歳以下の若手の研究者に贈られる「奨励賞」に太田裕貴 工学研究院准教授、水野洋輔 工学研究院准教授、白川真一 環境情報研究院准教授の計7名が選ばれました。 授与式は3月14日と23日に実施され、学長から受賞者に表彰状と記念品が授与されました。 優秀研究賞 今野　紀雄　工学研究院　教授 前川　宏一　都市イノベーション研究院　教授 技術進歩賞 島　圭介　　工学研究院　准教授 社会貢献賞 乾　久美子　都市イノベーション研究院　教授 奨励賞 太田　裕貴　工学研究院　准教授 水野　洋輔　工学研究院　准教授 白川　真一　環境情報研究院　准教授 三宅理事、白川准教授、梅原学長、乾教授、前川教授 （前列）水野准教授、太田准教授、梅原学長、今野教授、島准教授　（後列）渡邊研究・学術情報部長、三宅理事
2021,令和3年度横浜国立大学卒業式・大学院修了式を挙行（動画を掲載しました） - 横浜国立大学,"令和3年度横浜国立大学卒業式・大学院修了式を3月24日（木）パシフィコ横浜ノースにて挙行し、学部卒業生、大学院修了生等総勢2,522名に学位記、修了証書が授与されました。 式典は吹奏楽団の事前収録したファンファーレによって始まり、学長による式辞、学位記授与、来賓紹介、祝電披露の後、卒業生・修了生を代表して理工学部の卒業生が答辞を述べました。その後、成績優秀者及び学術研究活動において顕著な業績を挙げた学生の表彰があり、代表者に賞状と記念品が贈られました。最後にグリークラブ・管弦楽団による本学学生歌「みはるかす」が披露され、終了となりました。 式場では参加した卒業生・修了生全員に、本学オリジナルストールが記念品として贈呈され、フロアを鮮やかなブルーに染めました。 華やかな袴やスーツに身を包んだ学生たちが、大学生活最後の思い出に、学友たちと晴れやかな表情で記念撮影をする姿が、そこかしこで見られました。 令和3年度の卒業式は新型コロナウイルス感染拡大防止の観点から、入場は卒業生・修了生のみとし、入場時の検温や消毒、座席間隔の確保をはじめ、感染対策を十分にとって実施しました。また当日出席できなかった卒業生・修了生やご家族の皆様等に向けて、当日の式の様子を撮影した動画を公開しました。 動画の最後には、式典の様子や、当日式場で撮影した卒業生・修了生の写真やメッセージ動画をまとめたメモリアルを追加していますのでぜひご覧ください。 【式次第】（動画の各プログラムを直接開けます） ※視聴したいプログラムの時間をクリックしてください。 00:00 オープニング 00:42 開式の辞 01:10 学位記授与 01:28 学位記授与　教育学部・教育人間科学部 03:15 学位記授与　経済学部 04:49 学位記授与　経営学部 06:23 学位記授与　理工学部 08:00 学位記授与　都市科学部 09:36 学位記授与　教育学研究科 11:10 学位記授与　国際社会科学府 14:03 学位記授与　理工学府・工学府 17:02 学位記授与　環境情報学府 20:08 学位記授与　都市イノベーション学府 23:19 学長式辞 32:46 来賓紹介 33:56 祝電披露 38:07 卒業生等代表答辞 44:46 学生表彰 47:56 横浜国立大学学生歌等（グリークラブ・管弦楽団） 53:23 閉式の辞 53:47 卒業式・修了式メモリアル (担当：総務企画課部総務企画課)"
2021,2022年度第18回神奈川産学チャレンジプログラム参加チーム募集 - 横浜国立大学,課題解決型研究コンペである「神奈川産学チャレンジプログラム」が実施されることになりましたので、参加チームを募集します。 当該プログラムは、企業が抱える経営課題に対して、学生チームが自主的・能動的に研究し、実践的で実効性のある解決策を研究レポートとして提出するものです。実社会で発生している問題に具体的に取り組むことにより、問題解決能力の向上が期待されています。 提出された研究レポートは企業・団体により厳格な審査が行われ、優秀な成績を収めた学生チームには、学生、大学関係者、企業・団体関係者合同の表彰式にて、賞状・賞金が授与され、その栄誉が称えられます。(最優秀賞には10万円、優秀賞には5万円の現金もしくは金券等が、賞金として企業より授与されます。) 2021年度は5チームが参加し、１チームが優秀賞、３チームが最優秀賞を受賞しました。 皆さんのご参加をお待ちしております。 応募にあたっては、最初に、以下の「第18回実施要項・実施細則」を確認してください。 スケジュール ■ 応募締切：２０２２年５月２日（月）１７：００ 以下の応募フォームより、申し込みを行ってください。 応募フォームURL： https://forms.gle/TWZVdD8rGsH9vWLi9 研究テーマは、以下の「企業提示テーマ集」を参照してください。 「企業提示テーマ集」 ■応募結果通知：２０２２年５月３１日（火）（予定） 応募結果は、学生支援係から学生チームへ連絡します。 ■研究テーマの説明会：２０２２年６月中 企業による研究テーマの説明会が開催されます。 開催日については、企業から直接学生チームへ連絡があります。 ■ 研究レポート提出期限：２０２２年９月３０日（金）１７：００ メール、ＵＳＢメモリ等を用いて、電子媒体の研究レポートを学生支援係へ提出してください。 研究レポートは、以下の「レポート作成規定」を参照の上作成してください。 また、提出の際は「レポート表紙フォーマット」「提出レポートチェック表」の添付が漏れていないか、必ず確認してください。 「レポート作成規定」 「レポート表紙フォーマット」 「提出レポートチェック表」 ■審査結果発表：２０２２年１１月下旬（予定） 審査結果は学生支援係から学生チームに連絡します。 この時点では、入賞または選外のどちらであるかをお知らせします。 (最優秀賞か優秀賞であるかは、表彰式にて発表があります。) ■ 表彰式：２０２２年１２月１２日（月） 入賞チームには表彰式に参加していただきますので、１２月１２日(月)の予定を空けておいてください。 会場はパシフィコ横浜会議センターの予定です。 問い合わせ先 【担　　当】学生支援課学生支援係（学生センター２階②番窓口） 【電話番号】045-339-3134 【E-mail】 sangakuchallenge@ynu.ac.jp 【窓口時間】8：30～17:00（12：45～13：45を除く） (担当：学務部学生支援課)
2021,テレビ・ラジオへの出演 - 大学案内 - 横浜国立大学,テレビ・ラジオへの出演一覧 台風科学技術研究センター　筆保弘徳センター長がラジオに出演します。 放送日時、放送メディアは以下のとおりです。 放送日時 2022年3月27日（日）20：00～20：54 放送局名 BAYFM78 番組名 THE FLINTSTONE 出演者名 台風科学技術研究センター　筆保弘徳センター長 放送内容 台風科学技術研究センターの紹介や、台風研究への思いなどお話します。 (担当：総務企画部学長室広報・渉外係)
2021,アメリカンフットボール部MASTIFFS が TOP8 へ昇格しました - 横浜国立大学,"横浜国立大学アメリカンフットボール部MASTIFFSが、2021年度の関東学生アメリカンフットボール連盟リーグ戦において１部リーグ""BIG８""２位の成績を収め、TOP８へ昇格しました。 2021年度も新型コロナによる情勢を鑑みて、例年とは異なる以下のような形式での開催となりました。 ～形式～ リーグ内のチームを2019年度リーグ戦結果と抽選をもとに２つのブロックに分け、ブロック内総当たり戦を行う。その後、ブロックでの順位が同じチーム同士が順位決定戦を行う。 MASTIFFSが所属するBIG８では１位と２位のチーム がTOP８へと自動昇格となる。 ～～～～ 横国アメフト部はＢブロックで駒澤大学・国士舘大学・日本体育大学と戦い、２勝１敗でＢブロック１位となりました。Ａブロック１位の慶應義塾大学との試合には敗れましたが、創部初のTOPリーグへの昇格を果たしました。 《2021年度主将・黒田より挨拶》 2021年度主将を務めさせていただきました、理工学部の黒田勇介です。 2021年度は新型コロナと共存の中での活動となり、難しいシーズンとなりました。そのような情勢の中でもたくさんのお力添えをいただき、ありがとうございました。 目標であった『TOP８昇格』を果たすことができ嬉しく思います。 2022年度は新たな 舞台での チャレンジとなりますが、目標である『下剋上』を果たすべく今後も尽力していきます。引き続きご支援・ご声援のほどよろしくお願いいたします。 寄稿：アメリカンフットボール部 (担当：学務部学生支援課)"
